Book Name,Genre,Pages,Photo,Release Date,Title,Author__r.Author Name,Book_Series__r.Book Series Name
"Miecz Przeznaczenia","Adventure;Fantasy","400.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage1.jpg","01/01/1992","Miecz Przeznaczenia","Andrzej Sapkowski","Wiedźmin"
"Krew elfów","Adventure;Fantasy","340.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage3.jpg","01/01/1994","Krew elfów","Andrzej Sapkowski","Wiedźmin"
"Harry Potter i Przeklęte Dziecko","Adventure;Fantasy","368.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage16.jpg","01/01/2016","Harry Potter i Przeklęte Dziecko","J.K. Rowling","Wiedźmin"
"Drużyna Pierścienia","Fantasy;Science Fiction","448.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage17.jpg","01/01/1954","Drużyna Pierścienia","J.R.R. Tolkien","Władca Pierścieni"
"Śmierć w Breslau","Mystery;Thriller","256.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage20.jpg","01/01/2005","Śmierć w Breslau","Marek Krajewski",""
"Żmijowisko","Horror;Thriller","480.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage21.jpg","01/01/2018","Żmijowisko","Wojciech Chmielarz",""
"Czas pogardy","Adventure;Fantasy","368.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage4.jpg","01/01/1995","Czas pogardy","Andrzej Sapkowski","Wiedźmin"
"Wieża Jaskółki","Adventure;Fantasy","488.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage6.jpg","01/01/1997","Wieża Jaskółki","Andrzej Sapkowski","Wiedźmin"
"Światło, którego nie widać","Mystery;Romance","656.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage23.jpg","01/01/2014","Światło, którego nie widać","Anthony Doerr",""
"Ostatnie życzenie","Adventure;Fantasy","332.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage2.jpg","01/01/1993","Ostatnie życzenie","Andrzej Sapkowski","Wiedźmin"
"Chrzest ognia","Adventure;Fantasy","382.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage5.jpg","01/01/1996","Chrzest ognia","Andrzej Sapkowski","Wiedźmin"
"Harry Potter i Kamień Filozoficzny","Adventure;Fantasy","328.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage9.jpg","01/01/1997","Harry Potter i Kamień Filozoficzny","J.K. Rowling","Harry Potter"
"Harry Potter i więzień Azkabanu","Adventure;Fantasy","450.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage11.jpg","01/01/1999","Harry Potter i więzień Azkabanu","J.K. Rowling","Harry Potter"
"Harry Potter i Czara ognia","Adventure;Fantasy","768.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage12.jpg","01/01/2000","Harry Potter i Czara ognia","J.K. Rowling","Harry Potter"
"Harry Potter i Zakon Feniksa","Adventure;Fantasy","960.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage13.jpg","01/01/2003","Harry Potter i Zakon Feniksa","J.K. Rowling","Harry Potter"
"Harry Potter i Książę Półkrwi","Adventure;Fantasy","704.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage14.jpg","01/01/2006","Harry Potter i Książę Półkrwi","J.K. Rowling","Harry Potter"
"Harry Potter i Insygnia Śmierci","Adventure;Fantasy","782.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage15.jpg","01/01/2008","Harry Potter i Insygnia Śmierci","J.K. Rowling","Harry Potter"
"Dwie wieże","Fantasy;Science Fiction","501.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage18.jpg","01/01/1954","Dwie wieże","J.R.R. Tolkien","Władca Pierścieni"
"Czas Żelaza","Fantasy","600.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage22.jpg","01/01/2014","Czas Żelaza","Angus Watson",""
"Żelazna Wojna","Fantasy","600.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage24.jpg","01/01/2015","Żelazna Wojna","Angus Watson","Czas Żelaza"
"Sezon burz","Adventure;Fantasy","404.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage8.jpg","01/01/2013","Sezon burz","Andrzej Sapkowski","Wiedźmin"
"Harry Potter i Komnata Tajemnic","Adventure;Fantasy","368.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage10.jpg","01/01/1998","Harry Potter i Kamień filozoficzny","J.K. Rowling","Harry Potter"
"Powrót Króla","Fantasy;Science Fiction","608.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage19.jpg","01/01/1955","Powrót Króla","J.R.R. Tolkien","Władca Pierścieni"
"Tron z żelaza","Fantasy","730.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage25.jpg","01/01/2015","Tron z żelaa","Angus Watson","Czas Żelaza"
"Pani Jeziora","Adventure;Fantasy","596.0","/bookworm/s/webruntime/org-asset/340fe1beb5/resource/0817S000000To6K/bookImages/bookImage7.jpg","01/01/1999","Pani Jeziora","Andrzej Sapkowski","Wiedźmin"
